Attributes,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close
Symbols,AABA,AAPL,ABBV,ADBE,AMAT,AMD,AMGN,AMZN,AVGO,BA,BABA,BAC,BIDU,BRK-B,C,CAT,CELG,CMCSA,CRM,CSCO,CVS,CVX,DIA,DIS,DWDP,EEM,EFA,EWJ,EWZ,FB,FXI,GDX,GE,GLD,GOOG,GOOGL,GS,HD,HYG,IBM,IEMG,INTC,IVV,IWM,IYR,JNJ,JPM,KO,LMT,LOW,LQD,LRCX,MA,MCD,MMM,MRK,MS,MSFT,MU,NFLX,NVDA,NXPI,ORCL,PFE,PG,PM,PYPL,QCOM,QQQ,SMH,SPOT,SPY,SQ,T,TLT,TQQQ,TSLA,TWTR,TXN,UNH,UNP,UTX,V,VOO,VWO,VXX,VZ,WFC,WMT,WYNN,XLE,XLF,XLI,XLK,XLP,XLU,XLV,XLY,XOM,XOP,AABA,AAPL,ABBV,ADBE,AMAT,AMD,AMGN,AMZN,AVGO,BA,BABA,BAC,BIDU,BRK-B,C,CAT,CELG,CMCSA,CRM,CSCO,CVS,CVX,DIA,DIS,DWDP,EEM,EFA,EWJ,EWZ,FB,FXI,GDX,GE,GLD,GOOG,GOOGL,GS,HD,HYG,IBM,IEMG,INTC,IVV,IWM,IYR,JNJ,JPM,KO,LMT,LOW,LQD,LRCX,MA,MCD,MMM,MRK,MS,MSFT,MU,NFLX,NVDA,NXPI,ORCL,PFE,PG,PM,PYPL,QCOM,QQQ,SMH,SPOT,SPY,SQ,T,TLT,TQQQ,TSLA,TWTR,TXN,UNH,UNP,UTX,V,VOO,VWO,VXX,VZ,WFC,WMT,WYNN,XLE,XLF,XLI,XLK,XLP,XLU,XLV,XLY,XOM,XOP,AABA,AAPL,ABBV,ADBE,AMAT,AMD,AMGN,AMZN,AVGO,BA,BABA,BAC,BIDU,BRK-B,C,CAT,CELG,CMCSA,CRM,CSCO,CVS,CVX,DIA,DIS,DWDP,EEM,EFA,EWJ,EWZ,FB,FXI,GDX,GE,GLD,GOOG,GOOGL,GS,HD,HYG,IBM,IEMG,INTC,IVV,IWM,IYR,JNJ,JPM,KO,LMT,LOW,LQD,LRCX,MA,MCD,MMM,MRK,MS,MSFT,MU,NFLX,NVDA,NXPI,ORCL,PFE,PG,PM,PYPL,QCOM,QQQ,SMH,SPOT,SPY,SQ,T,TLT,TQQQ,TSLA,TWTR,TXN,UNH,UNP,UTX,V,VOO,VWO,VXX,VZ,WFC,WMT,WYNN,XLE,XLF,XLI,XLK,XLP,XLU,XLV,XLY,XOM,XOP,AABA,AAPL,ABBV,ADBE,AMAT,AMD,AMGN,AMZN,AVGO,BA,BABA,BAC,BIDU,BRK-B,C,CAT,CELG,CMCSA,CRM,CSCO,CVS,CVX,DIA,DIS,DWDP,EEM,EFA,EWJ,EWZ,FB,FXI,GDX,GE,GLD,GOOG,GOOGL,GS,HD,HYG,IBM,IEMG,INTC,IVV,IWM,IYR,JNJ,JPM,KO,LMT,LOW,LQD,LRCX,MA,MCD,MMM,MRK,MS,MSFT,MU,NFLX,NVDA,NXPI,ORCL,PFE,PG,PM,PYPL,QCOM,QQQ,SMH,SPOT,SPY,SQ,T,TLT,TQQQ,TSLA,TWTR,TXN,UNH,UNP,UTX,V,VOO,VWO,VXX,VZ,WFC,WMT,WYNN,XLE,XLF,XLI,XLK,XLP,XLU,XLV,XLY,XOM,XOP,AABA,AAPL,ABBV,ADBE,AMAT,AMD,AMGN,AMZN,AVGO,BA,BABA,BAC,BIDU,BRK-B,C,CAT,CELG,CMCSA,CRM,CSCO,CVS,CVX,DIA,DIS,DWDP,EEM,EFA,EWJ,EWZ,FB,FXI,GDX,GE,GLD,GOOG,GOOGL,GS,HD,HYG,IBM,IEMG,INTC,IVV,IWM,IYR,JNJ,JPM,KO,LMT,LOW,LQD,LRCX,MA,MCD,MMM,MRK,MS,MSFT,MU,NFLX,NVDA,NXPI,ORCL,PFE,PG,PM,PYPL,QCOM,QQQ,SMH,SPOT,SPY,SQ,T,TLT,TQQQ,TSLA,TWTR,TXN,UNH,UNP,UTX,V,VOO,VWO,VXX,VZ,WFC,WMT,WYNN,XLE,XLF,XLI,XLK,XLP,XLU,XLV,XLY,XOM,XOP,AABA,AAPL,ABBV,ADBE,AMAT,AMD,AMGN,AMZN,AVGO,BA,BABA,BAC,BIDU,BRK-B,C,CAT,CELG,CMCSA,CRM,CSCO,CVS,CVX,DIA,DIS,DWDP,EEM,EFA,EWJ,EWZ,FB,FXI,GDX,GE,GLD,GOOG,GOOGL,GS,HD,HYG,IBM,IEMG,INTC,IVV,IWM,IYR,JNJ,JPM,KO,LMT,LOW,LQD,LRCX,MA,MCD,MMM,MRK,MS,MSFT,MU,NFLX,NVDA,NXPI,ORCL,PFE,PG,PM,PYPL,QCOM,QQQ,SMH,SPOT,SPY,SQ,T,TLT,TQQQ,TSLA,TWTR,TXN,UNH,UNP,UTX,V,VOO,VWO,VXX,VZ,WFC,WMT,WYNN,XLE,XLF,XLI,XLK,XLP,XLU,XLV,XLY,XOM,XOP
Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-01-02,58.0099983215332,158.85000610351562,91.26000213623047,226.1699981689453,33.790000915527344,19.0,193.1999969482422,1553.3599853515625,254.6999969482422,323.95001220703125,137.74899291992188,25.139999389648438,164.3300018310547,204.39999389648438,53.7400016784668,127.87999725341797,67.02999877929688,34.45000076293945,136.8300018310547,43.20000076293945,65.87000274658203,111.68000030517578,234.0,109.13999938964844,54.93000030517578,39.189998626708984,58.66999816894531,51.13999938964844,40.779998779296875,137.50999450683594,38.779998779296875,21.229999542236328,8.180000305175781,121.75,1052.3199462890625,1060.7900390625,172.25,173.17999267578125,81.11000061035156,115.9800033569336,47.2599983215332,47.470001220703125,252.6999969482422,135.1699981689453,74.18000030517578,128.3800048828125,99.77999877929688,47.220001220703125,265.29998779296875,92.83999633789062,113.19000244140625,139.64999389648438,190.82000732421875,176.3000030517578,190.99000549316406,75.98999786376953,40.720001220703125,101.75,33.08000183105469,269.75,138.47999572753906,75.29000091552734,45.34000015258789,43.5,91.38999938964844,67.7699966430664,86.19999694824219,58.0,155.75,88.55000305175781,115.62999725341797,251.2100067138672,57.83000183105469,29.59000015258789,122.16000366210938,38.22999954223633,315.1300048828125,28.989999771118164,95.25,246.35000610351562,138.32000732421875,108.3499984741211,133.74000549316406,230.85000610351562,38.290000915527344,48.79999923706055,56.15999984741211,46.95000076293945,93.6500015258789,106.30999755859375,58.869998931884766,24.06999969482422,64.79000091552734,62.38999938964844,50.63999938964844,52.7599983215332,85.83000183105469,100.31999969482422,69.87000274658203,27.450000762939453,56.470001220703125,154.22999572753906,88.41999816894531,219.0,32.0,17.979999542236328,188.9499969482422,1460.9300537109375,246.49000549316406,313.7099914550781,133.02999877929688,24.010000228881836,155.49000549316406,201.14999389648438,50.66999816894531,123.0,63.189998626708984,33.41999816894531,133.0500030517578,42.209999084472656,64.44000244140625,107.0999984741211,229.13999938964844,107.7300033569336,52.310001373291016,38.58000183105469,57.97999954223633,50.130001068115234,38.86000061035156,128.55999755859375,38.2400016784668,20.84000015258789,7.409999847412109,120.87999725341797,1015.7100219726562,1025.280029296875,163.35000610351562,169.0500030517578,80.6500015258789,111.69000244140625,46.560001373291016,45.77000045776367,247.4199981689453,131.5399932861328,72.93000030517578,126.27999877929688,95.94000244140625,46.560001373291016,256.7900085449219,90.77999877929688,112.77999877929688,133.39999389648438,185.30999755859375,174.1699981689453,186.6999969482422,74.5999984741211,38.7599983215332,98.94000244140625,30.75,256.5799865722656,130.0500030517578,71.55999755859375,44.45000076293945,42.63999938964844,89.93000030517578,65.73999786376953,82.23999786376953,55.91999816894531,150.8800048828125,85.25,110.36000061035156,245.9499969482422,53.560001373291016,28.299999237060547,121.33999633789062,34.72999954223633,298.79998779296875,27.8700008392334,92.45999908447266,241.47000122070312,134.77000427246094,104.23999786376953,129.60000610351562,226.02000427246094,37.689998626708984,45.31999969482422,55.279998779296875,45.40999984741211,91.63999938964844,95.61000061035156,56.150001525878906,23.399999618530273,63.09000015258789,60.630001068115234,49.95000076293945,51.70000076293945,84.2699966430664,96.79000091552734,67.26000213623047,25.6299991607666,56.779998779296875,154.88999938964844,91.23999786376953,219.91000366210938,32.040000915527344,18.010000228881836,192.52000427246094,1465.199951171875,248.85000610351562,316.19000244140625,134.1300048828125,24.079999923706055,156.17999267578125,201.72999572753906,50.68000030517578,124.02999877929688,63.189998626708984,33.4900016784668,133.39999389648438,42.279998779296875,64.86000061035156,107.33999633789062,229.27000427246094,108.0999984741211,52.4900016784668,38.59000015258789,58.0,50.13999938964844,38.939998626708984,128.99000549316406,38.27000045776367,21.110000610351562,7.460000038146973,121.3499984741211,1016.5700073242188,1027.199951171875,164.3300018310547,169.7100067138672,80.72000122070312,112.01000213623047,46.61000061035156,45.959999084472656,247.5399932861328,132.1699981689453,74.08000183105469,128.1300048828125,95.94999694824219,46.939998626708984,258.3599853515625,91.22000122070312,112.81999969482422,133.4600067138672,185.8300018310547,175.41000366210938,187.82000732421875,75.29000091552734,39.02000045776367,99.55000305175781,31.0,259.2799987792969,130.63999938964844,71.91000366210938,44.47999954223633,43.119998931884766,91.02999877929688,66.12999725341797,82.37999725341797,56.20000076293945,150.99000549316406,85.48999786376953,111.66000366210938,245.97999572753906,54.099998474121094,28.5,121.66000366210938,34.779998779296875,306.1000061035156,28.260000228881836,92.76000213623047,245.0,135.64999389648438,105.16000366210938,130.0,226.17999267578125,37.77000045776367,48.54999923706055,56.15999984741211,45.529998779296875,91.63999938964844,96.19999694824219,56.439998626708984,23.469999313354492,63.459999084472656,60.709999084472656,50.2400016784668,52.709999084472656,85.18000030517578,97.31999969482422,67.3499984741211,25.959999084472656,57.4900016784668,157.9199981689453,89.2300033569336,224.57000732421875,33.47999954223633,18.829999923706055,191.89999389648438,1539.1300048828125,253.50999450683594,323.80999755859375,136.6999969482422,24.959999084472656,162.25,202.8000030517578,53.529998779296875,126.37999725341797,66.63999938964844,34.369998931884766,135.5500030517578,42.95000076293945,65.58000183105469,110.69000244140625,233.36000061035156,108.97000122070312,54.52000045776367,39.15999984741211,58.65999984741211,51.040000915527344,40.63999938964844,135.67999267578125,38.7599983215332,21.049999237060547,8.050000190734863,121.33000183105469,1045.8499755859375,1054.6800537109375,172.02999877929688,172.41000366210938,80.98999786376953,115.20999908447266,47.2599983215332,47.08000183105469,251.72000122070312,134.66000366210938,73.31999969482422,127.75,99.30999755859375,46.93000030517578,264.7300109863281,92.2699966430664,113.16999816894531,138.3000030517578,189.74000549316406,176.05999755859375,190.9499969482422,75.58999633789062,40.400001525878906,101.12000274658203,32.75,267.6600036621094,136.22000122070312,75.02999877929688,45.220001220703125,43.25,91.27999877929688,67.30999755859375,85.75,57.400001525878906,154.8800048828125,87.91999816894531,113.73999786376953,250.17999267578125,57.20000076293945,29.540000915527344,122.1500015258789,37.56999969482422,310.1199951171875,28.809999465942383,94.44999694824219,243.49000549316406,137.77999877929688,108.30000305175781,132.9199981689453,229.99000549316406,38.27000045776367,45.5,56.02000045776367,46.939998626708984,93.33999633789062,104.4000015258789,58.47999954223633,24.020000457763672,64.73999786376953,62.02000045776367,50.47999954223633,52.0099983215332,85.19999694824219,99.76000213623047,69.69000244140625,27.290000915527344,10532400.0,37039700.0,6908400.0,2784100.0,11106300.0,87148700.0,3009100.0,7983100.0,3034600.0,3292200.0,16708400.0,71836300.0,2997000.0,4802100.0,21646300.0,4783200.0,7972200.0,16970400.0,4783900.0,23833500.0,7322400.0,6384800.0,5319500.0,9723500.0,11760800.0,57198800.0,38723200.0,12513000.0,41926700.0,28146200.0,30521500.0,39963400.0,129354100.0,12776200.0,1532600.0,1593400.0,3999400.0,4242900.0,26977400.0,4239900.0,18610800.0,18774600.0,5980000.0,27295100.0,14797200.0,7631700.0,15670900.0,11603700.0,1064700.0,4198200.0,9506500.0,1712600.0,4294000.0,2571500.0,2475200.0,14427600.0,10648000.0,35329300.0,26004300.0,11679500.0,12718800.0,4720900.0,14320400.0,25076200.0,9843900.0,6471200.0,10146200.0,9896600.0,58576700.0,7144000.0,861100.0,126925200.0,13434000.0,39294000.0,19841500.0,33958200.0,11658600.0,15053700.0,6478800.0,4063600.0,3606300.0,5891600.0,8788000.0,4891300.0,17856900.0,38620000.0,13969700.0,20295200.0,8152700.0,4174400.0,24892600.0,62945000.0,14687500.0,15442900.0,20459000.0,25173900.0,14179900.0,6840800.0,16727200.0,25270900.0,57.4900016784668,157.9199981689453,88.14885711669922,224.57000732421875,33.47999954223633,18.829999923706055,191.89999389648438,1539.1300048828125,253.50999450683594,323.80999755859375,136.6999969482422,24.959999084472656,162.25,202.8000030517578,53.529998779296875,125.57215118408203,66.63999938964844,34.369998931884766,135.5500030517578,42.62000274658203,65.58000183105469,110.69000244140625,233.19345092773438,108.97000122070312,54.52000045776367,39.15999984741211,58.65999984741211,51.040000915527344,40.63999938964844,135.67999267578125,38.7599983215332,21.049999237060547,8.050000190734863,121.33000183105469,1045.8499755859375,1054.6800537109375,172.02999877929688,172.41000366210938,80.98999786376953,115.20999908447266,47.2599983215332,47.08000183105469,251.72000122070312,134.66000366210938,73.31999969482422,127.75,98.51000213623047,46.93000030517578,264.7300109863281,91.8036880493164,113.16999816894531,138.3000030517578,189.41256713867188,176.05999755859375,190.9499969482422,75.58999633789062,40.400001525878906,101.12000274658203,32.75,267.6600036621094,136.22000122070312,75.02999877929688,45.04167175292969,43.25,90.56370544433594,67.30999755859375,85.75,57.400001525878906,154.8800048828125,87.91999816894531,113.73999786376953,250.17999267578125,57.20000076293945,29.05837059020996,122.1500015258789,37.56999969482422,310.1199951171875,28.809999465942383,94.44999694824219,243.49000549316406,137.77999877929688,108.30000305175781,132.9199981689453,229.99000549316406,38.27000045776367,45.5,55.441375732421875,46.939998626708984,93.33999633789062,104.4000015258789,58.47999954223633,24.020000457763672,64.73999786376953,62.02000045776367,50.47999954223633,52.0099983215332,85.19999694824219,99.76000213623047,69.69000244140625,27.290000915527344
